well_id,source,n_grid,washout_flagged,no_bitsize,washout_interval_m,min_interval_pass,n_curves_meeting,drop_reason,dedup_hash,present,missing_GR,missing_RHOB,missing_NPHI,missing_DTC,missing_PEF,missing_SP,missing_CALI,missing_RDEP,missing_RMED,missing_RSHA,missing_DTS,hampel_GR,hampel_RHOB,hampel_NPHI,hampel_PEF,hampel_CALI,hampel_RSHA,suspect_m_RHOB,suspect_m_NPHI,suspect_m_PEF,hampel_DTC,hampel_DTS,hampel_RDEP,hampel_SP,hampel_RMED
L14-A-01-S2,nlog,3027,False,True,0.0,True,9,,445909e402de4066,"GR,RHOB,NPHI,DTC,PEF,CALI,RDEP,RMED,RSHA",0.0,0.6155,0.6155,0.0003,0.6161,1.0,0.6155,0.5276,0.6155,0.0,1.0,0.03105,0.04725,0.03866,0.03787,0.0232,0.03568,0.0,0.0,0.0,0.04296,,0.03217,,0.06443
L14-A-02,nlog,26313,False,True,0.0,True,6,,459ce77f102fb62c,"GR,RHOB,NPHI,DTC,RDEP,RMED",0.0,0.9439,0.9439,0.2372,1.0,1.0,1.0,0.9202,0.9202,1.0,1.0,0.03223,0.04875,0.02979,,,,0.0,0.0,0.0,0.02715,,0.01667,,0.01714
L15-01,nlog,20670,False,True,0.0,True,8,,f9ec82e79131af33,"GR,RHOB,NPHI,DTC,SP,CALI,RDEP,RSHA",0.0031,0.1508,0.771,0.1524,1.0,0.3552,0.1527,0.1642,1.0,0.1463,1.0,0.04082,0.05065,0.04394,,0.03831,0.03853,0.0,0.0,0.0,0.04092,,0.02784,0.02888,
L15-03,nlog,21031,False,True,0.0,True,5,,b19fec6477e74861,"GR,RHOB,NPHI,DTC,RDEP",0.0032,0.4864,0.4864,0.1585,1.0,1.0,1.0,0.1492,1.0,1.0,1.0,0.02891,0.03287,0.03481,,,,0.0,0.0,0.0,0.03695,,0.0318,,
L15-04,nlog,20735,False,True,0.0,True,6,,9cac56136b4e3011,"GR,RHOB,NPHI,DTC,RDEP,RSHA",0.0036,0.6842,0.6842,0.1512,1.0,1.0,1.0,0.8208,1.0,0.8267,1.0,0.02473,0.03787,0.02841,,,0.03283,0.0,0.0,0.0,0.02523,,0.03445,,
L15-A-107,nlog,5108,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),0dcbddd4c747eb11,GR,0.0211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0186,,,,,,0.0,0.0,0.0,,,,,
L15-A-107-S1,nlog,1574,False,True,0.0,False,2,only 2 curves >= 100 m (need 3),0001e35339781738,"DTC,DTS",1.0,1.0,1.0,0.3151,1.0,1.0,1.0,1.0,1.0,1.0,0.3151,,,,,,,0.0,0.0,0.0,0.02041,0.03432,,,
L15-A-108A-S2,nlog,1945,True,False,0.0,True,5,,a4fe7d6a23c47acf,"GR,RHOB,NPHI,PEF,CALI",0.1985,0.2026,0.2509,1.0,0.201,1.0,0.2,1.0,1.0,1.0,1.0,0.05516,0.0374,0.05148,0.04376,0.03535,,0.0,0.0,0.0,,,,,
L15-FA-101,nlog,20333,False,True,0.0,True,6,,7f972f56c95cde6a,"GR,RHOB,NPHI,DTC,CALI,RDEP",0.0022,0.154,0.7773,0.1643,1.0,1.0,0.154,0.1566,1.0,1.0,1.0,0.03174,0.03122,0.02363,,0.03145,,0.0,0.0,0.0,0.0346,,0.02181,,
L16-01,nlog,23897,False,True,0.0,True,8,,5bc3c6ce784d8bab,"GR,RHOB,NPHI,DTC,SP,CALI,RDEP,RSHA",0.0021,0.8821,0.8776,0.098,1.0,0.4799,0.3726,0.584,1.0,0.8959,1.0,0.03279,0.04402,0.03794,,0.01421,0.03056,0.0,0.0,0.0,0.02514,,0.02665,0.01955,
L16-02-S1,nlog,28962,False,True,0.0,True,8,,7039a6dc6b9dd9ee,"GR,RHOB,NPHI,DTC,SP,CALI,RDEP,RSHA",0.0218,0.695,0.7078,0.1461,1.0,0.137,0.4249,0.5669,1.0,0.5264,1.0,0.04497,0.02638,0.02966,,0.04377,0.03346,0.0,0.0,0.0,0.0317,,0.06888,0.02405,
L16-03,nlog,27572,False,True,0.0,True,8,,b92aadbb65f6a7aa,"GR,RHOB,NPHI,DTC,SP,CALI,RDEP,RSHA",0.0004,0.1467,0.449,0.1496,1.0,0.1684,0.1627,0.2839,1.0,0.3689,1.0,0.04521,0.04455,0.04423,,0.04297,0.04476,0.0,0.0,0.0,0.04034,,0.03495,0.02804,
L16-04,nlog,23281,False,True,0.0,True,4,,096508faff86a8ae,"GR,RHOB,NPHI,DTC",0.0017,0.2493,0.8097,0.0815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03008,0.03073,0.02596,,,,0.0,0.0,0.0,0.03054,,,,
L15-FA-102,nlog,2952,False,True,0.0,True,4,,f3609f1c1a60c165,"GR,DTC,CALI,RDEP",0.0112,1.0,1.0,0.0393,1.0,1.0,0.0112,0.0589,1.0,1.0,1.0,0.04556,,,,0.05036,,0.0,0.0,0.0,0.03702,,0.04644,,
L15-FA-103-S4,nlog,3928,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),2487b977b2b2282e,GR,0.067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01855,,,,,,0.0,0.0,0.0,,,,,
L15-FA-103-S5,nlog,5118,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),82c2318eb5b74453,GR,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03263,,,,,,0.0,0.0,0.0,,,,,
L15-FA-104,nlog,4540,False,True,0.0,True,4,,3f7a034459b7184e,"GR,RHOB,NPHI,PEF,CALI",0.0233,0.0242,0.9581,1.0,0.0392,1.0,0.028,1.0,1.0,1.0,1.0,0.04736,0.03725,0.00526,0.01857,0.02606,,0.0,0.0,0.0,,,,,
