well_id,source,n_grid,washout_flagged,no_bitsize,washout_interval_m,min_interval_pass,n_curves_meeting,drop_reason,dedup_hash,present,missing_GR,missing_RHOB,missing_NPHI,missing_DTC,missing_PEF,missing_SP,missing_CALI,missing_RDEP,missing_RMED,missing_RSHA,missing_DTS,hampel_GR,suspect_m_RHOB,suspect_m_NPHI,suspect_m_PEF,hampel_RHOB,hampel_NPHI,hampel_PEF,hampel_CALI,hampel_SP,hampel_RDEP,hampel_RMED,hampel_DTC,hampel_RSHA,hampel_DTS
1055385487,kgs,864,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),a267986d950c7a2b,"GR,NPHI",0.0185,1.0,0.9988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05896,0.0,0.0,0.0,,0.0,,,,,,,,
1055385488,kgs,1937,False,True,0.0,True,7,,6e8c09ba09157c01,"GR,RHOB,NPHI,SP,CALI,RDEP,RMED",0.0114,0.0,0.0041,1.0,1.0,0.2008,0.0026,0.0088,0.0083,1.0,1.0,0.03655,0.0,0.0,0.0,0.02994,0.03473,,0.00259,0.03295,0.03698,0.02863,,,
1055385489,kgs,816,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),dd2007151b417fb7,"GR,NPHI",0.0172,1.0,0.9988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02868,0.0,0.0,0.0,,0.0,,,,,,,,
1055385490,kgs,1085,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),3244728df69e1e2e,"GR,NPHI",0.0129,1.0,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04762,0.0,0.0,0.0,,0.0,,,,,,,,
1055385491,kgs,2353,False,True,0.0,True,7,,faf82a139ad449b5,"GR,RHOB,NPHI,SP,CALI,RDEP,RMED",0.0085,0.0,0.0,1.0,1.0,0.0956,0.0004,0.0038,0.0025,1.0,1.0,0.05358,0.0,0.0,0.0,0.02507,0.034,,0.00085,0.04088,0.03114,0.02769,,,
1055385492,kgs,3247,False,True,0.0,False,1,only 1 curves >= 100 m (need 3),2485e0de8c67e0aa,"GR,NPHI",0.0059,1.0,0.9994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04368,0.0,0.0,0.0,,0.0,,,,,,,,
1055385493,kgs,2144,False,True,0.0,True,6,,365b5501cdb09ac8,"GR,RHOB,SP,CALI,RDEP,RMED",0.0098,0.007,1.0,1.0,1.0,0.0382,0.0075,0.0392,0.0387,1.0,1.0,0.04663,0.0,0.0,0.0,0.03194,,,0.0,0.03589,0.01748,0.01989,,,
1055385494,kgs,1949,False,True,0.0,True,7,,5950864983f6283b,"GR,RHOB,NPHI,SP,CALI,RDEP,RMED",0.0108,0.0,0.0005,1.0,1.0,0.0159,0.0,0.0056,0.0041,1.0,1.0,0.04564,0.0,0.0,0.0,0.0236,0.03645,,0.00513,0.03233,0.04489,0.01906,,,
1055385495,kgs,2242,False,True,0.0,True,7,,5846c9bba965e15a,"GR,RHOB,NPHI,SP,CALI,RDEP,RMED",0.0085,0.0,0.0004,1.0,1.0,0.3104,0.0004,0.0045,0.0036,1.0,1.0,0.04453,0.0,0.0,0.0,0.0281,0.01874,,0.0,0.03558,0.02509,0.02149,,,
1055385496,kgs,4295,False,True,0.0,False,2,only 2 curves >= 100 m (need 3),9b2fcf2f52e43841,"GR,NPHI",0.0107,1.0,0.0075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03365,0.0,0.0,0.0,,0.0,,,,,,,,
