well_id,error
F17-10,no readable log file for borehole
F17-10__1498034820.dlis,"read timeout > 120s (killed, skipped)"
F17-10__1647976297.las,RuntimeError: ValueError: could not convert string to float: '18:00:00/20-Oct-2012'
F17-11,no readable log file for borehole
F17-11__1701282677.dlis,"read timeout > 120s (killed, skipped)"
F17-12,no readable log file for borehole
F17-12__1701280331.dlis,"read timeout > 120s (killed, skipped)"
F17-14,no readable log file for borehole
F17-14__3582201738.las,RuntimeError: ValueError: could not convert string to float: '20:43:28/20-May-2018'
G14-A-02,no readable log file for borehole
G14-A-02__751039577.dlis,"read timeout > 120s (killed, skipped)"
G14-A-02__751039684.dlis,"read timeout > 120s (killed, skipped)"
GAG-06-S1__975896946.dlis,"read timeout > 120s (killed, skipped)"
