well_id,borehole_name,uwi,nitg_number,mapviewer_id,public_as_of,on_offshore,lon,lat,detail_url
NLW-GT-02,NAALDWIJK-GT-02,5896,B37B4067,2636793480,2023-03-22,ON,4.23927524,51.98986124,https://www.nlog.nl/nlog-mapviewer/brh/2636793480
NLW-GT-02-S1,NAALDWIJK-GT-02-SIDETRACK1,5899,B37B4069,2641658759,2023-05-02,ON,4.23927524,51.98986124,https://www.nlog.nl/nlog-mapviewer/brh/2641658759
NLW-GT-03,NAALDWIJK-GT-03,5931,B37B4503,3274984346,2025-08-13,ON,4.23949016,51.9897331,https://www.nlog.nl/nlog-mapviewer/brh/3274984346
NLW-GT-03-S1,NAALDWIJK-GT-03-SIDETRACK1,5940,B37B4506,3351578031,2025-08-28,ON,4.23949016,51.9897331,https://www.nlog.nl/nlog-mapviewer/brh/3351578031
NLW-GT-04,NAALDWIJK-GT-04,5932,B37B4504,3274984349,2025-07-09,ON,4.23956171,51.98968738,https://www.nlog.nl/nlog-mapviewer/brh/3274984349
NMD-01,NUMANSDORP-01,5549,B43F1179,523124535,2015-07-01,ON,4.48448112,51.76372267,https://www.nlog.nl/nlog-mapviewer/brh/523124535
NMD-02,NUMANSDORP-02,5716,B43F1289,1153486367,2018-02-25,ON,4.48398479,51.76361204,https://www.nlog.nl/nlog-mapviewer/brh/1153486367
NMD-03,NUMANSDORP-03,5768,B43F1291,1551540924,2019-05-05,ON,4.48400369,51.76374668,https://www.nlog.nl/nlog-mapviewer/brh/1551540924
NNE-01,NOORD-NEDERLAND-01 (AVEREEST),2439,B21F0011,106512283,2003-01-01,ON,6.34179452,52.65015426,https://www.nlog.nl/nlog-mapviewer/brh/106512283
L09-FF-107-S2,L09-FF-107-SIDETRACK2,8596,BL090115,106532029,2012-07-24,OFF,4.96032477,53.61472819,https://www.nlog.nl/nlog-mapviewer/brh/106532029
L09-FF-108,L09-FF-108,8621,BL090118,106532268,2008-09-10,OFF,4.96027903,53.61471995,https://www.nlog.nl/nlog-mapviewer/brh/106532268
L09-FF-108-S1,L09-FF-108-SIDETRACK1,8627,BL090119,106532273,2008-10-12,OFF,4.96027903,53.61471995,https://www.nlog.nl/nlog-mapviewer/brh/106532273
L09-FF-108-S2,L09-FF-108-SIDETRACK2,8629,BL090120,106532276,2008-11-24,OFF,4.96027903,53.61471995,https://www.nlog.nl/nlog-mapviewer/brh/106532276
L10-01,L10-01,7282,BL100213,106525194,1980-02-22,OFF,4.18809872,53.48770454,https://www.nlog.nl/nlog-mapviewer/brh/106525194
L10-02,L10-02,7283,BL100105,106525199,1981-10-16,OFF,4.09616085,53.41875532,https://www.nlog.nl/nlog-mapviewer/brh/106525199
L10-04,L10-04,7284,BL100106,106525205,1980-10-12,OFF,4.32286723,53.38764779,https://www.nlog.nl/nlog-mapviewer/brh/106525205
L10-06,L10-06,7285,BL100107,106525215,1982-03-08,OFF,4.15265464,53.44453493,https://www.nlog.nl/nlog-mapviewer/brh/106525215
L10-07,L10-07,7286,BL100108,106525220,1982-04-02,OFF,4.25150134,53.39325363,https://www.nlog.nl/nlog-mapviewer/brh/106525220
L10-08,L10-08,7287,BL100109,106525226,1982-06-19,OFF,4.24410571,53.42378694,https://www.nlog.nl/nlog-mapviewer/brh/106525226
L10-09,L10-09,7288,BL100110,106525232,1982-08-27,OFF,4.15776719,53.46034249,https://www.nlog.nl/nlog-mapviewer/brh/106525232
L10-10,L10-10,7289,BL100111,106525238,1982-12-26,OFF,4.26021884,53.49126263,https://www.nlog.nl/nlog-mapviewer/brh/106525238
L10-11,L10-11,7290,BL100112,106525244,1983-03-09,OFF,4.04763247,53.4211955,https://www.nlog.nl/nlog-mapviewer/brh/106525244
L10-12,L10-12,7291,BL100113,106525250,1983-05-12,OFF,4.17199165,53.47366965,https://www.nlog.nl/nlog-mapviewer/brh/106525250
L10-13,L10-13,7292,BL100114,106525256,1983-09-17,OFF,4.2247733,53.35905647,https://www.nlog.nl/nlog-mapviewer/brh/106525256
L10-14,L10-14,7293,BL100115,106525262,1983-12-15,OFF,4.22924329,53.33841569,https://www.nlog.nl/nlog-mapviewer/brh/106525262
L15-01,L15-01,7374,BL150301,106525720,1988-07-16,OFF,4.86876162,53.30875991,https://www.nlog.nl/nlog-mapviewer/brh/106525720
L15-03,L15-03,7376,BL150302,106525733,1991-05-18,OFF,4.8324304,53.26619745,https://www.nlog.nl/nlog-mapviewer/brh/106525733
L15-04,L15-04,7377,BL150303,106525738,1992-10-04,OFF,4.89073397,53.32873164,https://www.nlog.nl/nlog-mapviewer/brh/106525738
L15-A-105,L15-A-105,9026,BL150342,585523784,2015-03-27,OFF,4.83075987,53.32955037,https://www.nlog.nl/nlog-mapviewer/brh/585523784
L15-A-105-S1,L15-A-105-SIDETRACK1,9045,BL150343,613565535,2015-04-12,OFF,4.83075987,53.32955037,https://www.nlog.nl/nlog-mapviewer/brh/613565535
L15-A-105-S2,L15-A-105-SIDETRACK2,9032,BL150344,641999096,2015-05-08,OFF,4.83075987,53.32955037,https://www.nlog.nl/nlog-mapviewer/brh/641999096
L15-A-105-S3,L15-A-105-SIDETRACK3,9034,BL150345,644977401,2015-05-27,OFF,4.83075987,53.32955037,https://www.nlog.nl/nlog-mapviewer/brh/644977401
L15-A-107,L15-A-107,9052,BL150347,752658788,2016-06-22,OFF,4.83074371,53.32952364,https://www.nlog.nl/nlog-mapviewer/brh/752658788
L15-A-107-S1,L15-A-107-SIDETRACK1,9090,BL150348,846606160,2016-09-09,OFF,4.83074371,53.32952364,https://www.nlog.nl/nlog-mapviewer/brh/846606160
L15-A-108,L15-A-108,9160,BL150371,1487516801,2019-03-21,OFF,4.83082067,53.32956741,https://www.nlog.nl/nlog-mapviewer/brh/1487516801
L15-A-108A,L15-A-108A,9167,BL150372,1540858168,2019-04-21,OFF,4.83082067,53.32956741,https://www.nlog.nl/nlog-mapviewer/brh/1540858168
L15-A-108A-S1,L15-A-108A-SIDETRACK1,9170,BL150373,1551405770,2019-05-10,OFF,4.83082067,53.32956741,https://www.nlog.nl/nlog-mapviewer/brh/1551405770
L15-A-108A-S2,L15-A-108A-SIDETRACK2,9173,BL150374,1562612656,2019-07-26,OFF,4.83082067,53.32956741,https://www.nlog.nl/nlog-mapviewer/brh/1562612656
L15-FA-101,L15-02,7375,BL150304,106525726,1990-04-28,OFF,4.83093573,53.32944877,https://www.nlog.nl/nlog-mapviewer/brh/106525726
L15-FA-102,L15-FA-102,8118,BL150305,106529894,2002-12-22,OFF,4.83074563,53.32956856,https://www.nlog.nl/nlog-mapviewer/brh/106529894
M07-10,M07-10,9247,BM070147,2023973953,2021-04-14,OFF,5.20799593,53.64170001,https://www.nlog.nl/nlog-mapviewer/brh/2023973953
M07-A-01,M07-A-01,9006,BM070131,445651494,2014-07-29,OFF,5.14305521,53.62845123,https://www.nlog.nl/nlog-mapviewer/brh/445651494
M07-A-01-S1,M07-A-01-SIDETRACK1,9007,BM070132,445660861,2014-09-11,OFF,5.14305521,53.62845123,https://www.nlog.nl/nlog-mapviewer/brh/445660861
M07-A-02,M07-07,9035,BM070133,653148354,2015-08-30,OFF,5.14307032,53.62845096,https://www.nlog.nl/nlog-mapviewer/brh/653148354
M07-A-02-S1,M07-A-02-SIDETRACK1,9242,BM070142,1944069510,2021-01-05,OFF,5.14307032,53.62845096,https://www.nlog.nl/nlog-mapviewer/brh/1944069510
M07-A-02-S2,M07-A-02-SIDETRACK2,9243,BM070145,1974435151,2021-01-25,OFF,5.14307032,53.62845096,https://www.nlog.nl/nlog-mapviewer/brh/1974435151
M07-A-02-S3,M07-A-02-SIDETRACK3,9253,BM070149,2071923776,2021-07-11,OFF,5.14307032,53.62845096,https://www.nlog.nl/nlog-mapviewer/brh/2071923776
M08-01,M08-01,7389,BM080134,106525806,1992-07-29,OFF,5.5913317,53.51882526,https://www.nlog.nl/nlog-mapviewer/brh/106525806
M08-02,M08-02,8033,BM080135,106529421,2001-04-07,OFF,5.64549721,53.56630852,https://www.nlog.nl/nlog-mapviewer/brh/106529421
M09-01,M09-01,7390,BM090191,106525812,1978-08-18,OFF,5.71897429,53.60883493,https://www.nlog.nl/nlog-mapviewer/brh/106525812
M09-02,M09-02,7391,BM090192,106525818,1987-01-17,OFF,5.79228668,53.5219675,https://www.nlog.nl/nlog-mapviewer/brh/106525818
M09-02-S1,M09-02-SIDETRACK1,7392,BM090193,106525821,1987-03-23,OFF,5.79228668,53.5219675,https://www.nlog.nl/nlog-mapviewer/brh/106525821
M09-03,M09-03,8336,BM090194,106531021,2007-03-13,OFF,5.84515078,53.522096,https://www.nlog.nl/nlog-mapviewer/brh/106531021
M10-01,M10-01,7393,BM100231,106525826,1987-06-26,OFF,5.21160521,53.4792379,https://www.nlog.nl/nlog-mapviewer/brh/106525826
NNE-02,NOORD-NEDERLAND-02 (KERKENBOSCH),2438,B22A0013,106512278,2003-01-01,ON,6.43150438,52.66265273,https://www.nlog.nl/nlog-mapviewer/brh/106512278
NNE-03,NOORD-NEDERLAND-03 (SCHUINE SLOOT),2429,B22B0036,106512234,2003-01-01,ON,6.54311439,52.64050324,https://www.nlog.nl/nlog-mapviewer/brh/106512234
NNE-04,NOORD-NEDERLAND-04 (DE KRIM),2428,B22E0066,106512229,2003-01-01,ON,6.65352957,52.66027128,https://www.nlog.nl/nlog-mapviewer/brh/106512229
NNE-05,NOORD-NEDERLAND-05 (IJHORST),2430,B21F0012,106512239,2003-01-01,ON,6.26211088,52.66694683,https://www.nlog.nl/nlog-mapviewer/brh/106512239
NNE-06,NOORD-NEDERLAND-06 (OOSTERHESSELEN),2431,B17G0011,106512246,2003-01-01,ON,6.73226237,52.73814816,https://www.nlog.nl/nlog-mapviewer/brh/106512246
NNE-07,NOORD-NEDERLAND-07 (GIETHOORN),2633,B16G0058,106513265,2003-01-01,ON,6.07829124,52.71888532,https://www.nlog.nl/nlog-mapviewer/brh/106513265
NNE-08,NOORD-NEDERLAND-08 (COEVORDEN),2634,B22E0067,106513272,2003-01-01,ON,6.76287974,52.65905782,https://www.nlog.nl/nlog-mapviewer/brh/106513272
NNE-09,NOORD-NEDERLAND-09 (UITWATERINGSKANAAL),2635,B22E0068,106513277,2003-01-01,ON,6.700321,52.64313954,https://www.nlog.nl/nlog-mapviewer/brh/106513277
NNE-10,NOORD-NEDERLAND-10 (DALERVEEN),2636,B22F0002,106513282,2003-01-01,ON,6.80838431,52.69492302,https://www.nlog.nl/nlog-mapviewer/brh/106513282
NNE-10-S1,NOORD-NEDERLAND-10-SIDETRACK1 (DALERVEEN),5434,B22F0857,251631671,2003-01-01,ON,6.80838431,52.69492302,https://www.nlog.nl/nlog-mapviewer/brh/251631671
NNE-11,NOORD-NEDERLAND-11 (HOLLANDSCHE VELD),5193,B22B0763,230814475,2003-01-01,ON,6.60893434,52.67737102,https://www.nlog.nl/nlog-mapviewer/brh/230814475
NNE-11-S1,NOORD-NEDERLAND-11-SIDETRACK1 (HOLLANDSCHE VELD),2637,B22B0003,106513287,2003-01-01,ON,6.60893434,52.67737102,https://www.nlog.nl/nlog-mapviewer/brh/106513287
NNE-11-S2,NOORD-NEDERLAND-11-SIDETRACK2 (HOLLANDSCHE VELD),5192,B22B0762,230814461,2003-01-01,ON,6.60893434,52.67737102,https://www.nlog.nl/nlog-mapviewer/brh/230814461
NNE-12,NOORD-NEDERLAND-12 (STEENWIJKSMOER),2638,B22E0069,106513292,2003-01-01,ON,6.69114639,52.65761994,https://www.nlog.nl/nlog-mapviewer/brh/106513292
NOR-01,NORG-01,1672,B12A0062,106508106,2003-01-01,ON,6.44974157,53.07245623,https://www.nlog.nl/nlog-mapviewer/brh/106508106
L10-14-S1,L10-14-SIDETRACK1,8832,BL100220,237935433,1984-01-12,OFF,4.22924329,53.33841569,https://www.nlog.nl/nlog-mapviewer/brh/237935433
L10-14-S2,L10-14-SIDETRACK2,7294,BL100116,106525266,1984-03-16,OFF,4.22924329,53.33841569,https://www.nlog.nl/nlog-mapviewer/brh/106525266
L10-16,L10-16,7295,BL100117,106525272,1987-09-15,OFF,4.16010472,53.47978144,https://www.nlog.nl/nlog-mapviewer/brh/106525272
L10-17,L10-17,7296,BL100118,106525278,1987-12-09,OFF,4.26123901,53.48500432,https://www.nlog.nl/nlog-mapviewer/brh/106525278
L10-18,L10-18,7297,BL100119,106525284,1989-02-09,OFF,4.00727176,53.33897689,https://www.nlog.nl/nlog-mapviewer/brh/106525284
L10-19,L10-19,7298,BL100120,106525290,1989-05-24,OFF,4.30022058,53.45961413,https://www.nlog.nl/nlog-mapviewer/brh/106525290
L10-19-S1,L10-19-SIDETRACK1,7299,BL100121,106525294,1989-08-11,OFF,4.30022058,53.45961413,https://www.nlog.nl/nlog-mapviewer/brh/106525294
L10-21,L10-21,7709,BL100122,106527732,1990-05-16,OFF,4.29867201,53.35105658,https://www.nlog.nl/nlog-mapviewer/brh/106527732
L10-21A,L10-21A,7300,BL100123,106527736,1990-08-30,OFF,4.29803084,53.35121637,https://www.nlog.nl/nlog-mapviewer/brh/106527736
L10-22,L10-22,7301,BL100124,106525299,1993-04-19,OFF,4.140941,53.4529804,https://www.nlog.nl/nlog-mapviewer/brh/106525299
L10-23,L10-G-01,7302,BL100193,106525305,1992-10-06,OFF,4.1954114,53.4904812,https://www.nlog.nl/nlog-mapviewer/brh/106525305
